file,method,ARI,Silhouette,GeneCorr,missing_fraction,run,Marker_CD34,Marker_SPINK2,Marker_SLAMF7,Marker_CD27,Marker_PF4,Marker_PPBP,Marker_CD79B,Marker_CD79A,Marker_MS4A1,Marker_CD19,Marker_CD72,Marker_CD40,Marker_CD22,Marker_NKG7,Marker_GZMB,Marker_FGFBP2,Marker_SPON2,Marker_KLRC1,Marker_KLRD1,Marker_MS4A7,Marker_FCN1,Marker_S100A12,Marker_S100A9,Marker_S100A8,Marker_FCGR3A,Marker_CD14,Marker_LDHB,Marker_CD4,Marker_CD8B,Marker_CD8A,Marker_CD3D,Marker_CD3E,Marker_CD3G
adata_softimpute_imputed_mf30_run6.h5ad,SoftImpute,1.0,,0.7699649808304352,0.3,6,,,,,0.6961749196052551,0.6951594948768616,,0.7021700739860535,0.6943762898445129,,,,,,0.7060279250144958,0.6841555833816528,,0.707476019859314,,,,0.8825366497039795,,,,,,,,,,,
adata_softimpute_imputed_mf30_run7.h5ad,SoftImpute,1.0,,0.7694387437824776,0.3,7,,,,,0.6680266261100769,0.6872819066047668,,0.70029616355896,0.7132160067558289,,,,,,0.7010035514831543,0.692833423614502,,0.7205877900123596,,,,0.8783766031265259,,,,,,,,,,,
adata_softimpute_imputed_mf30_run8.h5ad,SoftImpute,1.0,,0.7677000041590235,0.3,8,,,,,0.689269483089447,0.696683943271637,,0.6651306748390198,0.2302948534488678,,,,,,0.706658661365509,0.7008135318756104,,0.6785494089126587,,,,0.8876092433929443,,,,,,,,,,,
adata_softimpute_imputed_mf30_run9.h5ad,SoftImpute,1.0,,0.7685591914870377,0.3,9,,,,,0.6876645684242249,0.7046434283256531,,0.6976919174194336,0.6937631368637085,,,,,,0.6999313831329346,0.7079523205757141,,0.7146344780921936,,,,0.9095674157142639,,,,,,,,,,,
adata_magic_imputed_mf10_run1.h5ad,MAGIC,1.0,,0.14946290031178358,0.1,1,,,,,0.8868923198739024,0.8774387537926446,,0.8936812678318365,0.834889322692044,,,,,,0.8851397017780356,0.8914305848687908,,0.8205403202670347,,,,0.8996767933928912,,,,,,,,,,,
adata_magic_imputed_mf10_run10.h5ad,MAGIC,1.0,,0.14929773458192613,0.1,10,,,,,0.8866250428420809,0.8781293815800965,,0.8985133182926962,0.8126545538592079,,,,,,0.8735402924205152,0.8882846688740522,,0.9168520745790792,,,,0.8952723557389732,,,,,,,,,,,
adata_magic_imputed_mf10_run2.h5ad,MAGIC,1.0,,0.14948566021727794,0.1,2,,,,,0.8799595974178681,0.8797962924160078,,0.8887634407391278,0.8664623556296399,,,,,,0.8970350723268872,0.893322870890933,,0.8774159246661739,,,,0.9025472113993084,,,,,,,,,,,
adata_magic_imputed_mf10_run3.h5ad,MAGIC,1.0,,0.1498480728643282,0.1,3,,,,,0.9040305133424049,0.8806406337868945,,0.8999195149211048,0.8465248194538908,,,,,,0.8802633497315254,0.8855607257411965,,0.8892549557879372,,,,0.8978380919396076,,,,,,,,,,,
adata_magic_imputed_mf10_run4.h5ad,MAGIC,1.0,,0.149125537822644,0.1,4,,,,,0.8839292218780523,0.8624621936961271,,0.8838173910675131,0.8544966879870018,,,,,,0.8712040283634952,0.8767379650015262,,0.846991812067147,,,,0.9032578169271377,,,,,,,,,,,
adata_magic_imputed_mf10_run5.h5ad,MAGIC,1.0,,0.14939393488279723,0.1,5,,,,,0.8857243293821462,0.8764259667915958,,0.9044121951142725,0.8407586166843963,,,,,,0.8815489917066062,0.8936175614071586,,0.794841691967825,,,,0.9063228832381107,,,,,,,,,,,
